model,region,target,weight
CU-EKF_SEIRS,hhs1,2,0.626765791788529
CU-EKF_SIRS,hhs1,2,0.06271828529562236
Delphi-DeltaDensity2,hhs1,2,1.470130362590156e-05
CU-BMA,hhs1,2,0.011415471779158417
CU-EAKFC_SEIRS,hhs1,2,2.0151909578289703e-09
ReichLab-KDE,hhs1,2,6.913687211169479e-66
ReichLab-SARIMA1,hhs1,2,8.912476352462817e-32
Delphi-BasisRegression,hhs1,2,0.16258436803098192
Delphi-DeltaDensity1,hhs1,2,0.05963853448079328
CU-RHF_SIRS,hhs1,2,1.2077849929299056e-07
CU-EAKFC_SIRS,hhs1,2,5.637193513933057e-09
Delphi-Uniform,hhs1,2,3.926563902481649e-253
ReichLab-SARIMA2,hhs1,2,1.4409274190549393e-27
Delphi-Stat,hhs1,2,3.431543221841811e-11
Delphi-EmpiricalBayes1,hhs1,2,1.0293698146517118e-25
Delphi-EmpiricalFuture,hhs1,2,1.6008996743590146e-116
Delphi-EmpiricalBayes2,hhs1,2,2.7340208629509344e-12
ReichLab-KCDE,hhs1,2,0.07686271460321588
LANL-DBM,hhs1,2,9.102215028082875e-27
CU-RHF_SEIRS,hhs1,2,4.2501398832349705e-09
Delphi-EmpiricalTraj,hhs1,2,1.6008996743590146e-116
CU-EKF_SEIRS,hhs2,2,1.4967712949748972e-13
CU-EKF_SIRS,hhs2,2,0.0005874669188867616
Delphi-DeltaDensity2,hhs2,2,0.0756788502396933
CU-BMA,hhs2,2,4.890495847656911e-53
CU-EAKFC_SEIRS,hhs2,2,0.16983873336720415
ReichLab-KDE,hhs2,2,5.45241874139809e-137
ReichLab-SARIMA1,hhs2,2,1.0938990979127712e-57
Delphi-BasisRegression,hhs2,2,0.028015100351752982
Delphi-DeltaDensity1,hhs2,2,0.32232779114177773
CU-RHF_SIRS,hhs2,2,0.331497788579434
CU-EAKFC_SIRS,hhs2,2,0.0010781996812517583
Delphi-Uniform,hhs2,2,0.0
ReichLab-SARIMA2,hhs2,2,1.5662174922268303e-61
Delphi-Stat,hhs2,2,3.458428596727472e-20
Delphi-EmpiricalBayes1,hhs2,2,0.07097599711666495
Delphi-EmpiricalFuture,hhs2,2,3.2128700593960216e-193
Delphi-EmpiricalBayes2,hhs2,2,9.527442842707607e-60
ReichLab-KCDE,hhs2,2,4.3068418245806954e-16
LANL-DBM,hhs2,2,1.8879473924527106e-41
CU-RHF_SEIRS,hhs2,2,7.260318436600946e-08
Delphi-EmpiricalTraj,hhs2,2,3.2128700593960216e-193
CU-EKF_SEIRS,hhs3,2,2.717771208192553e-07
CU-EKF_SIRS,hhs3,2,8.323826651029816e-16
Delphi-DeltaDensity2,hhs3,2,1.1005296928429488e-10
CU-BMA,hhs3,2,3.1602518113268376e-08
CU-EAKFC_SEIRS,hhs3,2,0.021976185052102453
ReichLab-KDE,hhs3,2,1.0532727989833497e-28
ReichLab-SARIMA1,hhs3,2,2.3656494400463648e-18
Delphi-BasisRegression,hhs3,2,2.6990903170949012e-08
Delphi-DeltaDensity1,hhs3,2,0.4671964237302894
CU-RHF_SIRS,hhs3,2,7.445693326338606e-13
CU-EAKFC_SIRS,hhs3,2,0.1752057106567236
Delphi-Uniform,hhs3,2,5.4533243328580385e-211
ReichLab-SARIMA2,hhs3,2,4.895082858054901e-30
Delphi-Stat,hhs3,2,2.3885035153024376e-12
Delphi-EmpiricalBayes1,hhs3,2,0.25213472821755334
Delphi-EmpiricalFuture,hhs3,2,7.97271719296212e-90
Delphi-EmpiricalBayes2,hhs3,2,3.7206856505084684e-51
ReichLab-KCDE,hhs3,2,0.07921598590960971
LANL-DBM,hhs3,2,1.3835937992503124e-22
CU-RHF_SEIRS,hhs3,2,0.004270635949992429
Delphi-EmpiricalTraj,hhs3,2,7.97271719296212e-90
CU-EKF_SEIRS,hhs4,2,0.32053148821030025
CU-EKF_SIRS,hhs4,2,7.540331239392501e-05
Delphi-DeltaDensity2,hhs4,2,3.893787460308997e-08
CU-BMA,hhs4,2,5.397979330880485e-15
CU-EAKFC_SEIRS,hhs4,2,1.5011382240466763e-19
ReichLab-KDE,hhs4,2,5.561711924399235e-143
ReichLab-SARIMA1,hhs4,2,4.60474855588665e-13
Delphi-BasisRegression,hhs4,2,4.768918388461426e-16
Delphi-DeltaDensity1,hhs4,2,0.08812515234439691
CU-RHF_SIRS,hhs4,2,2.460205727726903e-24
CU-EAKFC_SIRS,hhs4,2,3.9623664211566645e-46
Delphi-Uniform,hhs4,2,0.0
